Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2025-02-24,Codespaces - Linux,Storage,0.1008,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.5224,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.072,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.156,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-24,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 2 core,1.1426,hour,0.18,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 4 core,0.7397,hour,0.36,1.0,T-R0052,hubhub,T-R0052,,
2025-02-24,Codespaces - Linux,Compute - 2 core,0.3882,hour,0.18,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1008,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 2 core,1.6766,hour,0.18,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.072,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.6436,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.156,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 4 core,1.6513,hour,0.36,1.0,T-R0052,hubhub,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 2 core,1.6867,hour,0.18,1.0,T-R0052,hubhub,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.1275,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 2 core,3.0396,hour,0.18,1.0,T-R0052,hubhub,T-R0052,,
2025-02-25,Codespaces - Linux,Compute - 2 core,0.5081,hour,0.18,1.0,T-R0052,Torbot,T-R0052,,
2025-02-25,Codespaces - Linux,Storage,0.0163,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.1008,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-26,Codespaces - Linux,Compute - 4 core,1.4723,hour,0.36,1.0,T-R0052,hubhub,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.844,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0408,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.156,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.18,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.076,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0008,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-26,Codespaces - Linux,Compute - 2 core,0.0554,hour,0.18,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-26,Codespaces - Linux,Compute - 2 core,1.5565,hour,0.18,1.0,T-R0052,remix-project,T-R0052,,
2025-02-26,Codespaces - Linux,Storage,0.0027,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0588,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0552,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-02-27,Codespaces - Linux,Compute - 2 core,0.8028,hour,0.18,1.0,T-R0052,remix-project,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.9119,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0408,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.156,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-27,Codespaces - Linux,Storage,0.1905,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-27,Codespaces - Linux,Compute - 2 core,1.1545,hour,0.18,1.0,T-R0052,hubhub,T-R0052,,
2025-02-27,Codespaces - Linux,Prebuild storage,1.2976,gb-month,0.07,1.0,T-R0052,master,,Create Codespaces Prebuilds,
2025-02-27,Codespaces - Linux,Storage,0.042,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-27,Codespaces - Linux,Compute - 4 core,0.66,hour,0.36,1.0,T-R0052,hubhub,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-28,Codespaces - Linux,Prebuild storage,2.16,gb-month,0.07,1.0,T-R0052,master,,Create Codespaces Prebuilds,
2025-02-28,Codespaces - Linux,Storage,0.0552,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0672,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.4899,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0408,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.1252,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.2954,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-02-28,Codespaces - Linux,Storage,0.0308,gb-month,0.07,1.0,T-R0052,upgraded-space-robot,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0552,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-03-01,Codespaces - Linux,Prebuild storage,2.16,gb-month,0.07,1.0,T-R0052,master,,Create Codespaces Prebuilds,
2025-03-01,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0672,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.4536,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0408,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.3048,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.1224,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-03-01,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,upgraded-space-robot,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0552,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-03-02,Codespaces - Linux,Prebuild storage,2.1601,gb-month,0.07,1.0,T-R0052,master,,Create Codespaces Prebuilds,
2025-03-02,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.132,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0672,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.4536,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0409,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0936,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.024,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.1224,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.096,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0504,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.3048,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0264,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.1752,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.732,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-03-02,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,upgraded-space-robot,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0336,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-03,Codespaces - Linux,Prebuild storage,2.124,gb-month,0.07,1.0,T-R0052,master,,Create Codespaces Prebuilds,
2025-03-03,Codespaces - Linux,Storage,0.0552,gb-month,0.07,1.0,T-R0052,remix-project,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0672,gb-month,0.07,1.0,T-R0052,whatisthis,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.1248,gb-month,0.07,1.0,T-R0052,aws-toolkit-vscode,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0391,gb-month,0.07,1.0,T-R0052,Torbot,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.4347,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.1295,gb-month,0.07,1.0,T-R0052,vscode-wakatime,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.092,gb-month,0.07,1.0,T-R0052,introduction-to-github,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.1173,gb-month,0.07,1.0,T-R0052,i3lack,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.2921,gb-month,0.07,1.0,T-R0052,hubhub,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0483,gb-month,0.07,1.0,T-R0052,javascript,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0253,gb-month,0.07,1.0,T-R0052,pros-cli,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.7015,gb-month,0.07,1.0,T-R0052,vscode,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.023,gb-month,0.07,1.0,T-R0052,polkit,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.1679,gb-month,0.07,1.0,T-R0052,codespaces-models,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0483,gb-month,0.07,1.0,T-R0052,setup-java,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0897,gb-month,0.07,1.0,T-R0052,eclipse-wakatime,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.092,gb-month,0.07,1.0,T-R0052,cli,T-R0052,,
2025-03-03,Codespaces - Linux,Storage,0.0322,gb-month,0.07,1.0,T-R0052,upgraded-space-robot,T-R0052,,
